Concept	NumDoculects	Pct
axe	53	1.0
bird	53	1.0
breast	53	1.0
cat	53	1.0
chief	53	1.0
corn	53	1.0
devil	53	1.0
ear	53	1.0
egg	53	1.0
fish	53	1.0
forest	53	1.0
garden egg	53	1.0
grave	53	1.0
hair	53	1.0
hand	53	1.0
head	53	1.0
heart	53	1.0
house	53	1.0
jaw	53	1.0
ladder	53	1.0
name	53	1.0
nose	53	1.0
palm nut	53	1.0
palm tree	53	1.0
pepper	53	1.0
pig	53	1.0
place	53	1.0
plantain	53	1.0
pot	53	1.0
potato	53	1.0
rain	53	1.0
snake	53	1.0
song	53	1.0
stomach	53	1.0
tongue	53	1.0
yam	53	1.0
animal	52	0.98
bag	52	0.98
banana	52	0.98
basket	52	0.98
bitter leaf	52	0.98
blood	52	0.98
book	52	0.98
broom	52	0.98
caterpillar	52	0.98
chair	52	0.98
child	52	0.98
crab	52	0.98
cricket	52	0.98
cup	52	0.98
cutlass	52	0.98
deity, god, God	52	0.98
dust	52	0.98
eye	52	0.98
faeces	52	0.98
farm	52	0.98
fowl	52	0.98
grass	52	0.98
leaf	52	0.98
monkey	52	0.98
moon	52	0.98
root	52	0.98
salt	52	0.98
smoke	52	0.98
sun	52	0.98
tooth	52	0.98
trap	52	0.98
tree	52	0.98
water	52	0.98
air	51	0.96
bed	51	0.96
compound	51	0.96
cow, cattle	51	0.96
day	51	0.96
drum	51	0.96
friend	51	0.96
gong	51	0.96
gun	51	0.96
hoe	51	0.96
intestine	51	0.96
mother	51	0.96
mouth	51	0.96
owl	51	0.96
pineapple	51	0.96
sand	51	0.96
seed	51	0.96
sieve	51	0.96
soap	51	0.96
stone	51	0.96
storm (wind)	51	0.96
story	51	0.96
war	51	0.96
case (court) (n)	50	0.94
father	50	0.94
feather	50	0.94
fire	50	0.94
goat	50	0.94
grasshopper	50	0.94
hailstone	50	0.94
hill	50	0.94
horse	50	0.94
medicine	50	0.94
person	50	0.94
raffia bamboo	50	0.94
sheep	50	0.94
toilet	50	0.94
umbrella	50	0.94
xylophone	50	0.94
oil	49	0.92
rope	49	0.92
soldier ant	49	0.92
star	49	0.92
dog	48	0.91
fence	48	0.91
